"job","firm","functional.area","type"
"Data Scientist","Digital Power","Data Science","Job"
"Healthcare consultant","Develop Consulting","Lean & SixSigma","Job"
"Internships","Simon-Kucher","Pricing","Internship"
"Senior Analyst","CIL Management Consultants","Strategy","Job"
"Senior Consultant | Energy & Natural Resources | Strategic Communications","FTI Consulting","Unknown","Job"
"Analyst","Enfuse Group","Digital","Job"
"Associate Consultant","Bain & Company","Strategy","Job"
"Principal Consultants","Q5","Strategy","Job"
"Senior Infrastructure & Cloud Services Advisor","West Monroe","Cloud","Job"
"Business Analyst","Humatica","Data Science","Job"
"Data Engineer","Valcon","Data Science","Job"
"Management Consultants","Collinson Grant","Process Management","Job"
"Senior Business Development Manager","Ayming","Sales","Job"
"Senior Strategist","The Upside","Strategy","Job"
"Analyst, satellite and space markets","Analysys Mason","Strategy","Job"
"Sourcing & Commercial Role","Coeus Consulting","Project Management","Job"
"Strategy& - Strategy Senior Associate","PwC","Strategy","Job"
"Director - Supply Chain Strategy & Transformation","Capgemini Invent","Strategy","Job"
"PH-4804; Test Automation Manager, Python / Azure","B2E Consulting","Unknown","Job"
"M&A Managing Partner UK","Marktlink","Unknown","Job"
"Associate","McKinsey & Company","Strategy","Job"
"PMO Lead","ThreeTwoFour","Project Management","Job"
"Consultant Treasury Technology","Zanders","Corporate Finance","Job"
"AWS Principal Architect","PA Consulting","Unknown","Job"
"Consultants and Senior Consultants","Procura Consulting","Project Management","Job"
"Intermediate Quantity Surveyor","Panoptic Consultancy Group","Project Management","Job"
"HR Manager","BearingPoint","Human Resources","Job"
"Manager - Technology","First Consulting","Mobile & Apps","Job"
"Independent Consultant ","dss+","Sustainability","Job"
"Business Development Manager UK","COMATCH","Sales","Job"
"Senior 3D/Motion Designer","Yonder Consulting","Marketing","Job"
"Internship / Work Placement","Skarbek Associates","Marketing","Internship"
"Experienced Hire","Fairgrove Partners","Strategy","Job"
"Senior Consultant - Local Government Strategy","Campbell Tickell","Strategy","Job"
"","Alvarez & Marsal","Management","Job"
"Analyst","Change Management Group","Process Management","Job"
"Consultant Roles (at all levels) – IT Advisory","Mason Advisory","Digital","Job"
"Director Client Services - Life Sciences","Genioo","Strategy","Job"
"Associate Director","Yonder Consulting","Project Management","Job"
"GCP Cloud Engineer","PA Consulting","Cloud","Job"
"Experienced Consultant, Mergers & Acquisitions","West Monroe","Mergers & Acquisitions","Job"
"Operational Technology Cyber Security Expert | Senior Manager | Dublin or Cork","PwC","IT Strategy","Job"
" Marketing Executive/Manager","Panoptic Consultancy Group","Marketing","Job"
